"snow_season","total_snowfall","days_recorded"
1906,253,243
1908,141.3,220
1913,124.5,243
1915,217.8,212
1916,230,224
1936,247.9,250
1937,232.4,244
1938,344,273
1939,177.5,273
1940,121.5,244
1941,153.5,243
1942,197,232
1943,112,243
1944,179,304
1945,171.5,365
1946,206.6,348
1947,106,365
1948,162.9,366
1949,222,358
1950,276,359
1951,146.7,357
1952,440.8,363
1953,223.3,358
1954,151.2,360
1955,152.9,359
1956,201.3,360
1957,140.5,360
1958,301.7,365
1959,139,365
1960,137,366
1961,123,360
1962,210.5,362
1963,132,365
1964,146.8,360
1965,237.7,363
1966,161,361
1967,345,365
1968,211.3,366
1969,342,365
1970,116.6,365
1971,271,365
1972,218,366
1973,245.5,365
1974,218.3,365
1975,237.7,365
1976,116.4,366
1977,91.3,365
1978,172.5,365
1979,187,334
1980,112,213
1981,99,304
1982,303,365
1983,272,365
1984,147,366
1985,215.1,365
1986,203.5,364
1987,99,301
1988,104.5,366
1989,240,346
1990,198,365
1991,158.5,365
1992,116.5,325
1993,310,365
1994,136.5,365
1995,318,365
1996,230.5,366
1997,209.5,364
1998,287,335
1999,320,365
2000,144,364
2001,159,335
2002,189,365
2003,176,365
2004,192,366
2005,229,362
2006,195,365
2007,130,365
2008,195,363
2009,123,244
2010,124.6,364
2012,82.6,336
2013,85.5,364
2014,30.5,362
2015,13.6,365
2016,130.3,366
2017,169.3,361
2018,100.5,362
2019,188,362
2020,101.8,366
2021,80.6,363
2022,121.6,364
2023,275.8,362
2024,117,362
2025,60.8,360
